backend,threads,tile_out_width,c,h,w,k,fh,fw,stride,pad,out_h,out_w,mean_ms,std_ms,workspace_bytes,workspace_mib,max_abs_diff_vs_im2col,checksum,sweep,problem_name
im2col,1,0,3,227,227,96,11,11,4,0,55,55,0.79757,0.026955,4392300,4.188824,0.0,13684.76406,threads,alexnet-conv1
dietconv-v1,1,55,3,227,227,96,11,11,4,0,55,55,1.768209,0.032594,37224,0.0355,7.6e-05,13684.766716,threads,alexnet-conv1
dietconv-v2,1,32,3,227,227,96,11,11,4,0,55,55,1.909973,0.035468,22440,0.0214,7.6e-05,13684.766716,threads,alexnet-conv1
im2col,2,0,3,227,227,96,11,11,4,0,55,55,0.614583,0.036629,4392300,4.188824,0.0,13684.76406,threads,alexnet-conv1
dietconv-v1,2,55,3,227,227,96,11,11,4,0,55,55,1.108597,0.03436,74448,0.070999,7.6e-05,13684.766716,threads,alexnet-conv1
dietconv-v2,2,32,3,227,227,96,11,11,4,0,55,55,1.187445,0.032611,44880,0.042801,7.6e-05,13684.766716,threads,alexnet-conv1
im2col,4,0,3,227,227,96,11,11,4,0,55,55,0.527666,0.033192,4392300,4.188824,0.0,13684.76406,threads,alexnet-conv1
dietconv-v1,4,55,3,227,227,96,11,11,4,0,55,55,0.811528,0.034765,148896,0.141998,7.6e-05,13684.766716,threads,alexnet-conv1
dietconv-v2,4,32,3,227,227,96,11,11,4,0,55,55,0.853333,0.053236,89760,0.085602,7.6e-05,13684.766716,threads,alexnet-conv1
im2col,8,0,3,227,227,96,11,11,4,0,55,55,0.581042,0.029315,4392300,4.188824,0.0,13684.76406,threads,alexnet-conv1
dietconv-v1,8,55,3,227,227,96,11,11,4,0,55,55,0.755042,0.040163,297792,0.283997,7.6e-05,13684.766716,threads,alexnet-conv1
dietconv-v2,8,32,3,227,227,96,11,11,4,0,55,55,0.742903,0.033211,179520,0.171204,7.6e-05,13684.766716,threads,alexnet-conv1
im2col,1,0,32,128,128,64,3,3,1,1,128,128,33.022527,0.455811,18874368,18.0,0.0,5627.212741,threads,scale-128
dietconv-v1,1,128,32,128,128,64,3,3,1,1,128,128,1.870278,0.141526,99072,0.094482,6.1e-05,5627.20952,threads,scale-128
dietconv-v2,1,64,32,128,128,64,3,3,1,1,128,128,2.355931,0.137945,49920,0.047607,6.1e-05,5627.20952,threads,scale-128
im2col,2,0,32,128,128,64,3,3,1,1,128,128,17.836861,0.33699,18874368,18.0,0.0,5627.212741,threads,scale-128
dietconv-v1,2,128,32,128,128,64,3,3,1,1,128,128,1.223375,0.138039,198144,0.188965,6.1e-05,5627.20952,threads,scale-128
dietconv-v2,2,64,32,128,128,64,3,3,1,1,128,128,1.538389,0.099601,99840,0.095215,6.1e-05,5627.20952,threads,scale-128
im2col,4,0,32,128,128,64,3,3,1,1,128,128,12.517069,0.37617,18874368,18.0,0.0,5627.212741,threads,scale-128
dietconv-v1,4,128,32,128,128,64,3,3,1,1,128,128,1.540973,0.193187,396288,0.37793,6.1e-05,5627.20952,threads,scale-128
dietconv-v2,4,64,32,128,128,64,3,3,1,1,128,128,1.221973,0.162413,199680,0.19043,6.1e-05,5627.20952,threads,scale-128
im2col,8,0,32,128,128,64,3,3,1,1,128,128,11.777209,0.858374,18874368,18.0,0.0,5627.212741,threads,scale-128
dietconv-v1,8,128,32,128,128,64,3,3,1,1,128,128,1.113639,0.190674,792576,0.755859,6.1e-05,5627.20952,threads,scale-128
dietconv-v2,8,64,32,128,128,64,3,3,1,1,128,128,1.205681,0.137484,399360,0.380859,6.1e-05,5627.20952,threads,scale-128
