backend,c,checksum,fh,fw,h,k,max_abs_diff_vs_native,mean_ms,pad,reference_checksum,std_ms,stride,threads,tile_out_width,w,workspace_bytes,workspace_mib,baseline_rss_mib,peak_rss_mib,rss_delta_mib,problem_name,sweep
torch-native,32,-10370.4755859375,3,3,32,64,0.0,0.371750000000004,1,-10370.4755859375,0.0,1,1,0,32,0,0.0,211.015625,211.859375,0.84375,scale-32,size
torch-unfold,32,-10370.4755859375,3,3,32,64,0.0,0.8631249999999646,1,-10370.4755859375,0.0,1,1,0,32,1179648,1.125,212.5625,216.265625,3.703125,scale-32,size
dietconv-v1-compiled,32,-10370.4775390625,3,3,32,64,5.7220458984375e-05,0.44375000000007603,1,-10370.4755859375,0.0,1,1,0,32,13056,0.012451171875,211.265625,211.96875,0.703125,scale-32,size
dietconv-v2-compiled,32,-10370.4775390625,3,3,32,64,5.7220458984375e-05,0.4945830000000484,1,-10370.4755859375,0.0,1,1,32,32,13056,0.012451171875,211.0,211.8125,0.8125,scale-32,size
torch-native,32,5007.203125,3,3,48,64,0.0,0.7424579999999459,1,5007.203125,0.0,1,1,0,48,0,0.0,213.09375,220.1875,7.09375,scale-48,size
torch-unfold,32,5007.203125,3,3,48,64,0.0,2.721707999999934,1,5007.203125,0.0,1,1,0,48,2654208,2.53125,213.625,221.65625,8.03125,scale-48,size
dietconv-v1-compiled,32,5007.1982421875,3,3,48,64,6.866455078125e-05,1.2408340000003015,1,5007.203125,0.0,1,1,0,48,19200,0.018310546875,213.453125,215.296875,1.84375,scale-48,size
dietconv-v2-compiled,32,5007.1982421875,3,3,48,64,6.866455078125e-05,0.6217920000000099,1,5007.203125,0.0,1,1,48,48,19200,0.018310546875,217.5,218.96875,1.46875,scale-48,size
torch-native,32,20439.978515625,3,3,64,64,0.0,3.4013330000000064,1,20439.978515625,0.0,1,1,0,64,0,0.0,217.34375,230.6875,13.34375,scale-64,size
torch-unfold,32,20439.978515625,3,3,64,64,0.0,3.483582999999957,1,20439.978515625,0.0,1,1,0,64,4718592,4.5,216.046875,232.296875,16.25,scale-64,size
dietconv-v1-compiled,32,20439.98046875,3,3,64,64,4.9591064453125e-05,0.9868749999999427,1,20439.978515625,0.0,1,1,0,64,25344,0.024169921875,216.609375,220.828125,4.21875,scale-64,size
dietconv-v2-compiled,32,20439.98046875,3,3,64,64,4.9591064453125e-05,1.460666000000277,1,20439.978515625,0.0,1,1,64,64,25344,0.024169921875,190.046875,210.96875,20.921875,scale-64,size
torch-native,32,15454.880859375,3,3,96,64,0.0,4.905166999999988,1,15454.880859375,0.0,1,1,0,96,0,0.0,224.453125,233.828125,9.375,scale-96,size
torch-unfold,32,15454.880859375,3,3,96,64,0.0,9.801291999999906,1,15454.880859375,0.0,1,1,0,96,10616832,10.125,223.78125,239.625,15.84375,scale-96,size
dietconv-v1-compiled,32,15454.8740234375,3,3,96,64,5.7220458984375e-05,3.582167000000025,1,15454.880859375,0.0,1,1,0,96,37632,0.035888671875,224.8125,239.109375,14.296875,scale-96,size
dietconv-v2-compiled,32,15454.8740234375,3,3,96,64,5.7220458984375e-05,5.081958000000331,1,15454.880859375,0.0,1,1,32,96,13056,0.012451171875,238.953125,247.21875,8.265625,scale-96,size
