backend,c,checksum,fh,fw,h,k,max_abs_diff_vs_native,mean_ms,pad,reference_checksum,std_ms,stride,threads,tile_out_width,w,workspace_bytes,workspace_mib,baseline_rss_mib,peak_rss_mib,rss_delta_mib,problem_name,sweep
torch-native,3,-13580.73046875,11,11,227,96,0.0,4.262624999999964,0,-13580.73046875,0.0,4,1,0,227,0,0.0,215.671875,223.546875,7.875,alexnet-conv1,threads
torch-unfold,3,-13580.73046875,11,11,227,96,0.0,16.585375000000013,0,-13580.73046875,0.0,4,1,0,227,4392300,4.188823699951172,209.546875,226.296875,16.75,alexnet-conv1,threads
dietconv-v1-compiled,3,-13580.724609375,11,11,227,96,9.918212890625e-05,13.21858300000045,0,-13580.73046875,0.0,4,1,0,227,29964,0.028575897216796875,216.671875,223.8125,7.140625,alexnet-conv1,threads
dietconv-v2-compiled,3,-13580.724609375,11,11,227,96,9.918212890625e-05,5.925916999999892,0,-13580.73046875,0.0,4,1,32,227,17820,0.016994476318359375,222.390625,224.953125,2.5625,alexnet-conv1,threads
torch-native,3,-13580.728515625,11,11,227,96,0.0,4.346834000000133,0,-13580.728515625,0.0,4,2,0,227,0,0.0,216.1875,229.359375,13.171875,alexnet-conv1,threads
torch-unfold,3,-13580.728515625,11,11,227,96,0.0,9.807250000000156,0,-13580.728515625,0.0,4,2,0,227,4392300,4.188823699951172,216.546875,232.296875,15.75,alexnet-conv1,threads
dietconv-v1-compiled,3,-13580.7255859375,11,11,227,96,9.918212890625e-05,7.061916999999696,0,-13580.728515625,0.0,4,2,0,227,29964,0.028575897216796875,217.484375,222.34375,4.859375,alexnet-conv1,threads
dietconv-v2-compiled,3,-13580.7255859375,11,11,227,96,9.918212890625e-05,4.8277500000000195,0,-13580.728515625,0.0,4,2,55,227,29964,0.028575897216796875,221.671875,223.109375,1.4375,alexnet-conv1,threads
torch-native,3,-13580.73046875,11,11,227,96,0.0,4.44545800000018,0,-13580.73046875,0.0,4,4,0,227,0,0.0,216.734375,232.125,15.390625,alexnet-conv1,threads
torch-unfold,3,-13580.73046875,11,11,227,96,0.0,5.9354170000007755,0,-13580.73046875,0.0,4,4,0,227,4392300,4.188823699951172,217.390625,227.765625,10.375,alexnet-conv1,threads
dietconv-v1-compiled,3,-13580.724609375,11,11,227,96,9.918212890625e-05,7.749500000000076,0,-13580.73046875,0.0,4,4,0,227,29964,0.028575897216796875,217.5625,221.359375,3.796875,alexnet-conv1,threads
dietconv-v2-compiled,3,-13580.724609375,11,11,227,96,9.918212890625e-05,6.895708000000056,0,-13580.73046875,0.0,4,4,32,227,17820,0.016994476318359375,221.5625,221.890625,0.328125,alexnet-conv1,threads
torch-native,3,-13580.7294921875,11,11,227,96,0.0,5.029791000000117,0,-13580.7294921875,0.0,4,8,0,227,0,0.0,217.125,230.296875,13.171875,alexnet-conv1,threads
torch-unfold,3,-13580.7294921875,11,11,227,96,0.0,5.821542000000068,0,-13580.7294921875,0.0,4,8,0,227,4392300,4.188823699951172,217.609375,230.515625,12.90625,alexnet-conv1,threads
dietconv-v1-compiled,3,-13580.7265625,11,11,227,96,9.918212890625e-05,5.779583999999893,0,-13580.7294921875,0.0,4,8,0,227,29964,0.028575897216796875,217.203125,221.015625,3.8125,alexnet-conv1,threads
dietconv-v2-compiled,3,-13580.7265625,11,11,227,96,9.918212890625e-05,8.644125000000003,0,-13580.7294921875,0.0,4,8,32,227,17820,0.016994476318359375,222.453125,223.890625,1.4375,alexnet-conv1,threads
torch-native,32,-8174.2880859375,3,3,96,64,0.0,5.21316599999988,1,-8174.2880859375,0.0,1,1,0,96,0,0.0,225.265625,236.875,11.609375,scale-96,threads
torch-unfold,32,-8174.2880859375,3,3,96,64,0.0,25.600958000000062,1,-8174.2880859375,0.0,1,1,0,96,10616832,10.125,224.25,237.84375,13.59375,scale-96,threads
dietconv-v1-compiled,32,-8174.2958984375,3,3,96,64,5.7220458984375e-05,10.457875000000172,1,-8174.2880859375,0.0,1,1,0,96,37632,0.035888671875,225.0625,239.390625,14.328125,scale-96,threads
dietconv-v2-compiled,32,-8174.2958984375,3,3,96,64,5.7220458984375e-05,5.626416000000134,1,-8174.2880859375,0.0,1,1,96,96,37632,0.035888671875,239.78125,245.828125,6.046875,scale-96,threads
torch-native,32,-8174.2861328125,3,3,96,64,0.0,6.026250000000566,1,-8174.2861328125,0.0,1,2,0,96,0,0.0,225.640625,239.46875,13.828125,scale-96,threads
torch-unfold,32,-8174.2861328125,3,3,96,64,0.0,17.688833000000237,1,-8174.2861328125,0.0,1,2,0,96,10616832,10.125,224.484375,239.125,14.640625,scale-96,threads
dietconv-v1-compiled,32,-8174.296875,3,3,96,64,5.7220458984375e-05,8.115209000000068,1,-8174.2861328125,0.0,1,2,0,96,37632,0.035888671875,225.765625,237.703125,11.9375,scale-96,threads
dietconv-v2-compiled,32,-8174.296875,3,3,96,64,5.7220458984375e-05,6.233083999999778,1,-8174.2861328125,0.0,1,2,64,96,25344,0.024169921875,239.671875,242.25,2.578125,scale-96,threads
