backend,threads,tile_out_width,c,h,w,k,fh,fw,stride,pad,mean_ms,std_ms,workspace_bytes,workspace_mib,max_abs_diff_vs_native,problem_name,sweep
torch-native,1,0,32,32,32,64,3,3,1,1,0.357360999999982,0.12194311444557895,0,0.0,0.0,scale-32,size
torch-unfold,1,0,32,32,32,64,3,3,1,1,1.1347639999999732,0.20913486751057922,1179648,1.125,0.0,scale-32,size
dietconv-v1-compiled,1,0,32,32,32,64,3,3,1,1,0.34591699999975134,0.023216343223355418,13056,0.012451171875,4.9591064453125e-05,scale-32,size
dietconv-v2-compiled,1,32,32,32,32,64,3,3,1,1,0.29619433333335127,0.0010204091771149663,13056,0.012451171875,4.9591064453125e-05,scale-32,size
torch-native,1,0,32,48,48,64,3,3,1,1,0.6166666666667098,0.019364751299484003,0,0.0,0.0,scale-48,size
torch-unfold,1,0,32,48,48,64,3,3,1,1,2.0364306666668477,0.054076223495847245,2654208,2.53125,0.0,scale-48,size
dietconv-v1-compiled,1,0,32,48,48,64,3,3,1,1,0.6435136666664102,0.02409441216464733,19200,0.018310546875,5.340576171875e-05,scale-48,size
dietconv-v2-compiled,1,32,32,48,48,64,3,3,1,1,0.8466523333334012,0.09225373992910427,13056,0.012451171875,5.340576171875e-05,scale-48,size
torch-native,1,0,32,64,64,64,3,3,1,1,1.3624996666665723,0.10494217446551782,0,0.0,0.0,scale-64,size
torch-unfold,1,0,32,64,64,64,3,3,1,1,4.651013666666574,0.8250698345883151,4718592,4.5,0.0,scale-64,size
dietconv-v1-compiled,1,0,32,64,64,64,3,3,1,1,1.058388999999919,0.04770421882798188,25344,0.024169921875,6.866455078125e-05,scale-64,size
dietconv-v2-compiled,1,64,32,64,64,64,3,3,1,1,1.2217083333333119,0.0435757641609547,25344,0.024169921875,6.866455078125e-05,scale-64,size
torch-native,1,0,32,96,96,64,3,3,1,1,3.2549026666665406,0.43375855249690765,0,0.0,0.0,scale-96,size
torch-unfold,1,0,32,96,96,64,3,3,1,1,10.448388666666494,0.38249664773802383,10616832,10.125,0.0,scale-96,size
dietconv-v1-compiled,1,0,32,96,96,64,3,3,1,1,3.139527666666808,0.4940221575978023,37632,0.035888671875,5.7220458984375e-05,scale-96,size
dietconv-v2-compiled,1,96,32,96,96,64,3,3,1,1,3.2411109999999077,0.5851538992511841,37632,0.035888671875,5.7220458984375e-05,scale-96,size
