backend,threads,tile_out_width,c,h,w,k,fh,fw,stride,pad,mean_ms,std_ms,workspace_bytes,workspace_mib,max_abs_diff_vs_native,problem_name,sweep
torch-native,1,0,3,227,227,96,11,11,4,0,3.4404300000000867,0.0843811865405596,0,0.0,0.0,alexnet-conv1,threads
torch-unfold,1,0,3,227,227,96,11,11,4,0,3.486694333333299,1.0200969961883597,4392300,4.188823699951172,0.0,alexnet-conv1,threads
dietconv-v1-compiled,1,0,3,227,227,96,11,11,4,0,7.183111333333307,0.6613596759937448,29964,0.028575897216796875,9.5367431640625e-05,alexnet-conv1,threads
dietconv-v2-compiled,1,55,3,227,227,96,11,11,4,0,5.614180333333607,0.7011556039018496,29964,0.028575897216796875,9.5367431640625e-05,alexnet-conv1,threads
torch-native,2,0,3,227,227,96,11,11,4,0,0.9658329999998235,0.019280020124484324,0,0.0,0.0,alexnet-conv1,threads
torch-unfold,2,0,3,227,227,96,11,11,4,0,2.9186943333332493,0.9122248541612409,4392300,4.188823699951172,0.0,alexnet-conv1,threads
dietconv-v1-compiled,2,0,3,227,227,96,11,11,4,0,5.814472333333469,0.5417794125510978,29964,0.028575897216796875,9.5367431640625e-05,alexnet-conv1,threads
dietconv-v2-compiled,2,55,3,227,227,96,11,11,4,0,5.651375000000088,0.6206354031318775,29964,0.028575897216796875,9.5367431640625e-05,alexnet-conv1,threads
torch-native,4,0,3,227,227,96,11,11,4,0,0.9629586666665505,0.1907952062593225,0,0.0,0.0,alexnet-conv1,threads
torch-unfold,4,0,3,227,227,96,11,11,4,0,2.4289863333333273,0.959226538788536,4392300,4.188823699951172,0.0,alexnet-conv1,threads
dietconv-v1-compiled,4,0,3,227,227,96,11,11,4,0,6.192208333333227,1.0542362773459324,29964,0.028575897216796875,9.5367431640625e-05,alexnet-conv1,threads
dietconv-v2-compiled,4,55,3,227,227,96,11,11,4,0,6.137083333333404,0.3975880981807989,29964,0.028575897216796875,9.5367431640625e-05,alexnet-conv1,threads
torch-native,8,0,3,227,227,96,11,11,4,0,1.0099163333331755,0.19765937615398876,0,0.0,0.0,alexnet-conv1,threads
torch-unfold,8,0,3,227,227,96,11,11,4,0,1.951680333333261,0.9366177250970951,4392300,4.188823699951172,0.0,alexnet-conv1,threads
dietconv-v1-compiled,8,0,3,227,227,96,11,11,4,0,6.521513666666608,0.3651166188552535,29964,0.028575897216796875,9.5367431640625e-05,alexnet-conv1,threads
dietconv-v2-compiled,8,55,3,227,227,96,11,11,4,0,6.372499666666827,0.0668358019093722,29964,0.028575897216796875,9.5367431640625e-05,alexnet-conv1,threads
torch-native,1,0,32,96,96,64,3,3,1,1,1.3562500000000217,0.34749762578468957,0,0.0,0.0,scale-96,threads
torch-unfold,1,0,32,96,96,64,3,3,1,1,5.203430666666471,0.7725269815457821,10616832,10.125,0.0,scale-96,threads
dietconv-v1-compiled,1,0,32,96,96,64,3,3,1,1,2.739444333333433,0.5266128677985,37632,0.035888671875,6.4849853515625e-05,scale-96,threads
dietconv-v2-compiled,1,96,32,96,96,64,3,3,1,1,2.8051526666666624,0.44823939591412615,37632,0.035888671875,6.4849853515625e-05,scale-96,threads
torch-native,2,0,32,96,96,64,3,3,1,1,1.6051390000000332,0.09333329689161254,0,0.0,0.0,scale-96,threads
torch-unfold,2,0,32,96,96,64,3,3,1,1,3.50275033333336,0.6605302249440804,10616832,10.125,0.0,scale-96,threads
dietconv-v1-compiled,2,0,32,96,96,64,3,3,1,1,2.4708193333335218,0.2907009993952793,37632,0.035888671875,6.4849853515625e-05,scale-96,threads
dietconv-v2-compiled,2,96,32,96,96,64,3,3,1,1,2.7991389999999505,0.3752254579698846,37632,0.035888671875,6.4849853515625e-05,scale-96,threads
torch-native,4,0,32,96,96,64,3,3,1,1,1.398138666666604,0.13543637385950086,0,0.0,0.0,scale-96,threads
torch-unfold,4,0,32,96,96,64,3,3,1,1,2.367000000000008,0.1850589705813059,10616832,10.125,0.0,scale-96,threads
dietconv-v1-compiled,4,0,32,96,96,64,3,3,1,1,2.3098609999999318,0.05560621196111585,37632,0.035888671875,6.4849853515625e-05,scale-96,threads
dietconv-v2-compiled,4,96,32,96,96,64,3,3,1,1,2.3351390000003747,0.07443162070476265,37632,0.035888671875,6.4849853515625e-05,scale-96,threads
torch-native,8,0,32,96,96,64,3,3,1,1,0.9872783333332672,0.09705277918540986,0,0.0,0.0,scale-96,threads
torch-unfold,8,0,32,96,96,64,3,3,1,1,2.2269723333329474,0.3273776194491874,10616832,10.125,0.0,scale-96,threads
dietconv-v1-compiled,8,0,32,96,96,64,3,3,1,1,2.4843196666669933,0.2917201523392912,37632,0.035888671875,6.4849853515625e-05,scale-96,threads
dietconv-v2-compiled,8,96,32,96,96,64,3,3,1,1,2.4826806666669774,0.07477925541371834,37632,0.035888671875,6.4849853515625e-05,scale-96,threads
